,Vanilla,Demeaned,,Vanilla Cumsum,Demeaned Cumsum
1996-04-19,0,0,,0,0
1996-04-22,0,0,,0,0
1996-04-23,0,0,,0,0
1996-04-24,0,0,,0,0
1996-04-25,0,0,,0,0
1996-04-26,0,0,,0,0
1996-04-29,0,0,,0,0
1996-04-30,0,0,,0,0
1996-05-01,0,0,,0,0
1996-05-02,0,0,,0,0
1996-05-03,0,0,,0,0
1996-05-06,0,0,,0,0
1996-05-07,0,0,,0,0
1996-05-08,0,0,,0,0
1996-05-09,0,0,,0,0
1996-05-10,0,0,,0,0
1996-05-13,0,0,,0,0
1996-05-14,0,0,,0,0
1996-05-15,0,0,,0,0
1996-05-16,0,0,,0,0
1996-05-17,0,0,,0,0
1996-05-20,0,0,,0,0
1996-05-21,0,0,,0,0
1996-05-22,0,0,,0,0
1996-05-23,0,0,,0,0
1996-05-24,0,0,,0,0
1996-05-28,0,0,,0,0
1996-05-29,0,0,,0,0
1996-05-30,0,0,,0,0
1996-05-31,0,0,,0,0
1996-06-03,0,0,,0,0
1996-06-04,0,0,,0,0
1996-06-05,0,0,,0,0
1996-06-06,0,0,,0,0
1996-06-07,0,0,,0,0
1996-06-10,0,0,,0,0
1996-06-11,0,0,,0,0
1996-06-12,0,0,,0,0
1996-06-13,0,0,,0,0
1996-06-14,0,0,,0,0
1996-06-17,0,0,,0,0
1996-06-18,0,0,,0,0
1996-06-19,0,0,,0,0
1996-06-20,0,0,,0,0
1996-06-21,0,0,,0,0
1996-06-24,0,0,,0,0
1996-06-25,0,0,,0,0
1996-06-26,0,0,,0,0
1996-06-27,0,0,,0,0
1996-06-28,0,0,,0,0
1996-07-01,0,0,,0,0
1996-07-02,0,0,,0,0
1996-07-03,0,0,,0,0
1996-07-05,0,0,,0,0
1996-07-08,0,0,,0,0
1996-07-09,0,0,,0,0
1996-07-10,0,0,,0,0
1996-07-11,0,0,,0,0
1996-07-12,0,0,,0,0
1996-07-15,0,0,,0,0
1996-07-16,0,0,,0,0
1996-07-17,0,0,,0,0
1996-07-18,0,0,,0,0
1996-07-19,0,0,,0,0
1996-07-22,0,0,,0,0
1996-07-23,0,0,,0,0
1996-07-24,0,0,,0,0
1996-07-25,0,0,,0,0
1996-07-26,0,0,,0,0
1996-07-29,0,0,,0,0
1996-07-30,0,0,,0,0
1996-07-31,0,0,,0,0
1996-08-01,0,0,,0,0
1996-08-02,0,0,,0,0
1996-08-05,0,0,,0,0
1996-08-06,0,0,,0,0
1996-08-07,0,0,,0,0
1996-08-08,0,0,,0,0
1996-08-09,0,0,,0,0
1996-08-12,0,0,,0,0
1996-08-13,0,0,,0,0
1996-08-14,0,0,,0,0
1996-08-15,0,0,,0,0
1996-08-16,0,0,,0,0
1996-08-19,0,0,,0,0
1996-08-20,0,0,,0,0
1996-08-21,0,0,,0,0
1996-08-22,0,0,,0,0
1996-08-23,0,0,,0,0
1996-08-26,0,0,,0,0
1996-08-27,0,0,,0,0
1996-08-28,0,0,,0,0
1996-08-29,0,0,,0,0
1996-08-30,0,0,,0,0
1996-09-03,0,0,,0,0
1996-09-04,0,0,,0,0
1996-09-05,0,0,,0,0
1996-09-06,0,0,,0,0
1996-09-09,0,0,,0,0
1996-09-10,0,0,,0,0
1996-09-11,0,0,,0,0
1996-09-12,0,0,,0,0
1996-09-13,0,0,,0,0
1996-09-16,0,0,,0,0
1996-09-17,0,0,,0,0
1996-09-18,0,0,,0,0
1996-09-19,0,0,,0,0
1996-09-20,0,0,,0,0
1996-09-23,0,0,,0,0
1996-09-24,0,0,,0,0
1996-09-25,0,0,,0,0
1996-09-26,0,0,,0,0
1996-09-27,0,0,,0,0
1996-09-30,0,0,,0,0
1996-10-01,0,0,,0,0
1996-10-02,0,0,,0,0
1996-10-03,0,0,,0,0
1996-10-04,0,0,,0,0
1996-10-07,0,0,,0,0
1996-10-08,0,0,,0,0
1996-10-09,0,0,,0,0
1996-10-10,0,0,,0,0
1996-10-11,0,0,,0,0
1996-10-14,0,0,,0,0
1996-10-15,0,0,,0,0
1996-10-16,0,0,,0,0
1996-10-17,0,0,,0,0
1996-10-18,0,0,,0,0
1996-10-21,0,0,,0,0
1996-10-22,0,0,,0,0
1996-10-23,0,0,,0,0
1996-10-24,0,0,,0,0
1996-10-25,0,0,,0,0
1996-10-28,0,0,,0,0
1996-10-29,0,0,,0,0
1996-10-30,0,0,,0,0
1996-10-31,0,0,,0,0
1996-11-01,0,0,,0,0
1996-11-04,0,0,,0,0
1996-11-05,0,0,,0,0
1996-11-06,0,0,,0,0
1996-11-07,0,0,,0,0
1996-11-08,0,0,,0,0
1996-11-11,0,0,,0,0
1996-11-12,0,0,,0,0
1996-11-13,0,0,,0,0
1996-11-14,0,0,,0,0
1996-11-15,0,0,,0,0
1996-11-18,0,0,,0,0
1996-11-19,0,0,,0,0
1996-11-20,0,0,,0,0
1996-11-21,0,0,,0,0
1996-11-22,0,0,,0,0
1996-11-25,0,0,,0,0
1996-11-26,0,0,,0,0
1996-11-27,0,0,,0,0
1996-11-29,0,0,,0,0
1996-12-02,0,0,,0,0
1996-12-03,0,0,,0,0
1996-12-04,0,0,,0,0
1996-12-05,0,0,,0,0
1996-12-06,0,0,,0,0
1996-12-09,0,0,,0,0
1996-12-10,0,0,,0,0
1996-12-11,0,0,,0,0
1996-12-12,0,0,,0,0
1996-12-13,0,0,,0,0
1996-12-16,0,0,,0,0
1996-12-17,0,0,,0,0
1996-12-18,0,0,,0,0
1996-12-19,0,0,,0,0
1996-12-20,0,0,,0,0
1996-12-23,0,0,,0,0
1996-12-24,0,0,,0,0
1996-12-26,0,0,,0,0
1996-12-27,0,0,,0,0
1996-12-30,0,0,,0,0
1996-12-31,0,0,,0,0
1997-01-02,0,0,,0,0
1997-01-03,0,0,,0,0
1997-01-06,0,0,,0,0
1997-01-07,0,0,,0,0
1997-01-08,0,0,,0,0
1997-01-09,0,0,,0,0
1997-01-10,0,0,,0,0
1997-01-13,0,0,,0,0
1997-01-14,0,0,,0,0
1997-01-15,0,0,,0,0
1997-01-16,0,0,,0,0
1997-01-17,0,0,,0,0
1997-01-20,0,0,,0,0
1997-01-21,0,0,,0,0
1997-01-22,0,0,,0,0
1997-01-23,0,0,,0,0
1997-01-24,0,0,,0,0
1997-01-27,0,0,,0,0
1997-01-28,0,0,,0,0
1997-01-29,0,0,,0,0
1997-01-30,0,0,,0,0
1997-01-31,0,0,,0,0
1997-02-03,0,0,,0,0
1997-02-04,0,0,,0,0
1997-02-05,0,0,,0,0
1997-02-06,0,0,,0,0
1997-02-07,0,0,,0,0
1997-02-10,0,0,,0,0
1997-02-11,0,0,,0,0
1997-02-12,0,0,,0,0
1997-02-13,0,0,,0,0
1997-02-14,0,0,,0,0
1997-02-18,0,0,,0,0
1997-02-19,0,0,,0,0
1997-02-20,0,0,,0,0
1997-02-21,0,0,,0,0
1997-02-24,0,0,,0,0
1997-02-25,0,0,,0,0
1997-02-26,0,0,,0,0
1997-02-27,0,0,,0,0
1997-02-28,0,0,,0,0
1997-03-03,0,0,,0,0
1997-03-04,0,0,,0,0
1997-03-05,0,0,,0,0
1997-03-06,0,0,,0,0
1997-03-07,0,0,,0,0
1997-03-10,0,0,,0,0
1997-03-11,0,0,,0,0
1997-03-12,0,0,,0,0
1997-03-13,0,0,,0,0
1997-03-14,0,0,,0,0
1997-03-17,0,0,,0,0
1997-03-18,0,0,,0,0
1997-03-19,0,0,,0,0
1997-03-20,0,0,,0,0
1997-03-21,0,0,,0,0
1997-03-24,0,0,,0,0
1997-03-25,0,0,,0,0
1997-03-26,0,0,,0,0
1997-03-27,0,0,,0,0
1997-03-31,0,0,,0,0
1997-04-01,0,0,,0,0
1997-04-02,0,0,,0,0
1997-04-03,0,0,,0,0
1997-04-04,0,0,,0,0
1997-04-07,0,0,,0,0
1997-04-08,0,0,,0,0
1997-04-09,0,0,,0,0
1997-04-10,0,0,,0,0
1997-04-11,0,0,,0,0
1997-04-14,0,0,,0,0
1997-04-15,0,0,,0,0
1997-04-16,0,0,,0,0
1997-04-17,0,0,,0,0
1997-04-18,0,0,,0,0
1997-04-21,0,0,,0,0
1997-04-22,0,0,,0,0
1997-04-23,0,0,,0,0
1997-04-24,0,0,,0,0
1997-04-25,0,0,,0,0
1997-04-28,0,0,,0,0
1997-04-29,0,0,,0,0
1997-04-30,0,0,,0,0
1997-05-01,0,0,,0,0
1997-05-02,0,0,,0,0
1997-05-05,0,0,,0,0
1997-05-06,0,0,,0,0
1997-05-07,0,0,,0,0
1997-05-08,0,0,,0,0
1997-05-09,0,0,,0,0
1997-05-12,0,0,,0,0
1997-05-13,0,0,,0,0
1997-05-14,0,0,,0,0
1997-05-15,0,0,,0,0
1997-05-16,0,0,,0,0
1997-05-19,0,0,,0,0
1997-05-20,0,0,,0,0
1997-05-21,0,0,,0,0
1997-05-22,0,0,,0,0
1997-05-23,0,0,,0,0
1997-05-27,0,0,,0,0
1997-05-28,0,0,,0,0
1997-05-29,0,0,,0,0
1997-05-30,0,0,,0,0
1997-06-02,0,0,,0,0
1997-06-03,0,0,,0,0
1997-06-04,0,0,,0,0
1997-06-05,0,0,,0,0
1997-06-06,0,0,,0,0
1997-06-09,0,0,,0,0
1997-06-10,0,0,,0,0
1997-06-11,0,0,,0,0
1997-06-12,0,0,,0,0
1997-06-13,0,0,,0,0
1997-06-16,0,0,,0,0
1997-06-17,0,0,,0,0
1997-06-18,0,0,,0,0
1997-06-19,0,0,,0,0
1997-06-20,0,0,,0,0
1997-06-23,0,0,,0,0
1997-06-24,0,0,,0,0
1997-06-25,0,0,,0,0
1997-06-26,0,0,,0,0
1997-06-27,0,0,,0,0
1997-06-30,0,0,,0,0
1997-07-01,0,0,,0,0
1997-07-02,0,0,,0,0
1997-07-03,0,0,,0,0
1997-07-07,0,0,,0,0
1997-07-08,0,0,,0,0
1997-07-09,0,0,,0,0
1997-07-10,0,0,,0,0
1997-07-11,0,0,,0,0
1997-07-14,0,0,,0,0
1997-07-15,0,0,,0,0
1997-07-16,0,0,,0,0
1997-07-17,0,0,,0,0
1997-07-18,0,0,,0,0
1997-07-21,0,0,,0,0
1997-07-22,0,0,,0,0
1997-07-23,0,0,,0,0
1997-07-24,0,0,,0,0
1997-07-25,0,0,,0,0
1997-07-28,0,0,,0,0
1997-07-29,0,0,,0,0
1997-07-30,0,0,,0,0
1997-07-31,0,0,,0,0
1997-08-01,0,0,,0,0
1997-08-04,0,0,,0,0
1997-08-05,0,0,,0,0
1997-08-06,0,0,,0,0
1997-08-07,0,0,,0,0
1997-08-08,0,0,,0,0
1997-08-11,0,0,,0,0
1997-08-12,0,0,,0,0
1997-08-13,0,0,,0,0
1997-08-14,0,0,,0,0
1997-08-15,0,0,,0,0
1997-08-18,0,0,,0,0
1997-08-19,0,0,,0,0
1997-08-20,0,0,,0,0
1997-08-21,0,0,,0,0
1997-08-22,0,0,,0,0
1997-08-25,0,0,,0,0
1997-08-26,0,0,,0,0
1997-08-27,0,0,,0,0
1997-08-28,0,0,,0,0
1997-08-29,0,0,,0,0
1997-09-02,0,0,,0,0
1997-09-03,0,0,,0,0
1997-09-04,0,0,,0,0
1997-09-05,0,0,,0,0
1997-09-08,0,0,,0,0
1997-09-09,0,0,,0,0
1997-09-10,0,0,,0,0
1997-09-11,0,0,,0,0
1997-09-12,0,0,,0,0
1997-09-15,0,0,,0,0
1997-09-16,0,0,,0,0
1997-09-17,0,0,,0,0
1997-09-18,0,0,,0,0
1997-09-19,0,0,,0,0
1997-09-22,0.007518817,0.006578965,,0.007518817,0.006578965
1997-09-23,0.001552759,0.001358664,,0.009071576,0.007937629
1997-09-24,-0.003379477,-0.002957042,,-0.001826718,-0.001598378
1997-09-25,-0.002831993,-0.002477994,,-0.00621147,-0.005435037
1997-09-26,0.001284169,0.001123648,,-0.001547824,-0.001354346
1997-09-29,0.002227176,0.001948779,,0.003511345,0.003072427
1997-09-30,0.004385952,0.003837708,,0.006613128,0.005786487
1997-10-01,-0.001215862,-0.001063879,,0.00317009,0.002773829
1997-10-02,0.001532768,0.001341172,,0.000316906,0.000277293
1997-10-03,-0.002729789,-0.002388565,,-0.001197021,-0.001047393
1997-10-06,-0.004638119,-0.004058354,,-0.007367907,-0.006446919
1997-10-07,0.001278423,0.00111862,,-0.003359695,-0.002939733
1997-10-08,-0.003484383,-0.003048835,,-0.00220596,-0.001930215
1997-10-09,-0.000324567,-0.000283996,,-0.00380895,-0.003332832
1997-10-10,0.001301484,0.001138798,,0.000976916,0.000854802
1997-10-13,0.000322614,0.000282287,,0.001624098,0.001421086
1997-10-14,0.003539084,0.003096698,,0.003861698,0.003378986
1997-10-15,0.00690751,0.006044071,,0.010446594,0.00914077
1997-10-16,0.001497421,0.001310243,,0.008404931,0.007354314
1997-10-17,0.011262529,0.009854713,,0.012759949,0.011164956
1997-10-20,-0.002472559,-0.002163489,,0.00878997,0.007691224
1997-10-21,-0.001118106,-0.000978343,,-0.003590665,-0.003141831
1997-10-22,-0.006199041,-0.005424161,,-0.007317147,-0.006402504
1997-10-23,-0.005596434,-0.00489688,,-0.011795475,-0.010321041
1997-10-24,-0.005824614,-0.005096537,,-0.011421048,-0.009993417
1997-10-27,0,0,,-0.005824614,-0.005096537
1997-10-28,-0.007350625,-0.006431797,,-0.007350625,-0.006431797
1997-10-29,-0.010107837,-0.008844357,,-0.017458462,-0.015276154
1997-10-30,-0.003625749,-0.00317253,,-0.013733586,-0.012016888
1997-10-31,0.011160746,0.009765653,,0.007534997,0.006593123
1997-11-03,0.011732082,0.010265572,,0.022892828,0.020031225
1997-11-04,-0.003188717,-0.002790128,,0.008543365,0.007475444
1997-11-05,-0.007827717,-0.006849252,,-0.011016434,-0.00963938
1997-11-06,0.000301842,0.000268304,,-0.007525874,-0.006580948
1997-11-07,-0.004517984,-0.004015985,,-0.004216141,-0.003747681
1997-11-10,-0.006562491,-0.005833326,,-0.011080475,-0.009849311
1997-11-11,0.004287456,0.003811072,,-0.002275035,-0.002022254
1997-11-12,0.003826734,0.003401541,,0.00811419,0.007212613
1997-11-13,-0.002784685,-0.002475275,,0.001042049,0.000926266
1997-11-14,-0.010126634,-0.009001452,,-0.012911318,-0.011476727
1997-11-17,0.007920146,0.007040129,,-0.002206488,-0.001961323
1997-11-18,0.002266832,0.002014962,,0.010186978,0.009055092
1997-11-19,-0.001590295,-0.001413595,,0.000676538,0.000601367
1997-11-20,0.003865935,0.003436387,,0.00227564,0.002022791
1997-11-21,-0.002500127,-0.002222335,,0.001365808,0.001214052
1997-11-24,0,0,,-0.002500127,-0.002222335
1997-11-25,-0.002550921,-0.002267486,,-0.002550921,-0.002267486
1997-11-26,0.005208362,0.004629655,,0.002657441,0.00236217
1997-11-28,0.00062504,0.000555591,,0.005833402,0.005185246
1997-12-01,-0.00062193,-0.000552827,,3.10985E-06,2.76431E-06
1997-12-02,-0.001250058,-0.001111163,,-0.001871988,-0.001663989
1997-12-03,0.003156496,0.002805774,,0.001906438,0.001694611
1997-12-04,0.007697111,0.006841877,,0.010853607,0.00964765
1997-12-05,-0.004640398,-0.004124799,,0.003056713,0.002717078
1997-12-08,-0.001204668,-0.001070816,,-0.005845067,-0.005195615
1997-12-09,-0.002973829,-0.002676446,,-0.004178497,-0.003747262
1997-12-10,-0.007777764,-0.006999988,,-0.010751593,-0.009676434
1997-12-11,0.005674993,0.005107494,,-0.002102771,-0.001892494
1997-12-12,0.001705109,0.001534598,,0.007380102,0.006642092
1997-12-15,0.002798713,0.002518842,,0.004503822,0.00405344
1997-12-16,-0.003275976,-0.002948378,,-0.000477263,-0.000429536
1997-12-17,0.00028121,0.000253089,,-0.002994766,-0.002695289
1997-12-18,-0.0002805,-0.00025245,,7.09914E-07,6.38923E-07
1997-12-19,-0.004500726,-0.004050653,,-0.004781226,-0.004303103
1997-12-22,0.001172529,0.001055276,,-0.003328197,-0.002995378
1997-12-23,-0.002088692,-0.001898811,,-0.000916163,-0.000843535
1997-12-24,0,0,,-0.002088692,-0.001898811
1997-12-26,-0.000799945,-0.000727223,,-0.000799945,-0.000727223
1997-12-29,0.001344055,0.001221869,,0.00054411,0.000494645
1997-12-30,0.001856759,0.001687962,,0.003200814,0.002909831
1997-12-31,0.001302054,0.001183686,,0.003158813,0.002871648
1998-01-02,0.001542498,0.00140227,,0.002844552,0.002585956
1998-01-05,0,0,,0.001542498,0.00140227
1998-01-06,-0.001772146,-0.001611042,,-0.001772146,-0.001611042
1998-01-07,-0.002835102,-0.002577365,,-0.004607248,-0.004188407
1998-01-08,-0.002387297,-0.00217027,,-0.005222398,-0.004747635
1998-01-09,-0.0046195,-0.004199546,,-0.007006797,-0.006369815
1998-01-12,0.002848938,0.002589943,,-0.001770562,-0.001609602
1998-01-13,-0.001108095,-0.001007359,,0.001740843,0.001582585
1998-01-14,-0.00336131,-0.003055737,,-0.004469405,-0.004063095
1998-01-15,0.003478224,0.003162022,,0.000116914,0.000106285
1998-01-16,-0.003310308,-0.003034449,,0.000167916,0.000127573
1998-01-20,-0.000264374,-0.000242343,,-0.003574682,-0.003276792
1998-01-21,-0.000530116,-0.00048594,,-0.00079449,-0.000728283
1998-01-22,0.002399392,0.002199442,,0.001869275,0.001713502
1998-01-23,-0.003636365,-0.003333335,,-0.001236974,-0.001133893
1998-01-26,0.000811829,0.000744177,,-0.002824536,-0.002589158
1998-01-27,0,0,,0.000811829,0.000744177
1998-01-28,-0.000804644,-0.00073759,,-0.000804644,-0.00073759
1998-01-29,-0.001240053,-0.001144664,,-0.002044696,-0.001882254
1998-01-30,-0.001007097,-0.000929628,,-0.002247149,-0.002074292
1998-02-02,-0.001019241,-0.000940838,,-0.002026337,-0.001870465
1998-02-03,0.003353861,0.003095871,,0.00233462,0.002155034
1998-02-04,0.004216401,0.003892062,,0.007570262,0.006987934
1998-02-05,0.002596664,0.002396921,,0.006813065,0.006288983
1998-02-06,0.00320513,0.002958581,,0.005801794,0.005355502
1998-02-09,-0.00418869,-0.003866483,,-0.00098356,-0.000907902
1998-02-10,-0.00232122,-0.002142664,,-0.00650991,-0.006009147
1998-02-11,-0.003104177,-0.002865394,,-0.005425397,-0.005008059
1998-02-12,-0.000991931,-0.000915628,,-0.004096108,-0.003781023
1998-02-13,0.002258871,0.002085112,,0.00126694,0.001169483
1998-02-17,-0.001579064,-0.001466273,,0.000679808,0.000618838
1998-02-18,-0.002303037,-0.002138534,,-0.0038821,-0.003604808
1998-02-19,-0.00094972,-0.000881883,,-0.003252757,-0.003020417
1998-02-20,0,0,,-0.00094972,-0.000881883
1998-02-23,0.001682698,0.001562505,,0.001682698,0.001562505
1998-02-24,-0.000705669,-0.000655264,,0.000977029,0.000907241
1998-02-25,0.002611635,0.00242509,,0.001905966,0.001769826
1998-02-26,-0.00021331,-0.00019909,,0.002398324,0.002226
1998-02-27,0,0,,-0.00021331,-0.00019909
1998-03-02,0.000213949,0.000199686,,0.000213949,0.000199686
1998-03-03,0.000213149,0.000198939,,0.000427098,0.000398625
1998-03-04,-0.000637712,-0.000595198,,-0.000424563,-0.000396259
1998-03-05,0.001287069,0.001201264,,0.000649357,0.000606066
1998-03-06,0.002317629,0.002163121,,0.003604698,0.003364385
1998-03-09,0.005714289,0.005333336,,0.008031918,0.007496457
1998-03-10,0.002976223,0.002801151,,0.008690511,0.008134487
1998-03-11,-0.003472172,-0.003267927,,-0.00049595,-0.000466776
1998-03-12,-0.002840993,-0.002673876,,-0.006313166,-0.005941803
1998-03-13,-0.001318123,-0.001244894,,-0.004159117,-0.00391877
1998-03-16,-0.002528297,-0.002387836,,-0.00384642,-0.00363273
1998-03-17,-0.001418121,-0.001347215,,-0.003946418,-0.003735051
1998-03-18,0.00178129,0.001692226,,0.00036317,0.000345011
1998-03-19,0.000676392,0.000646984,,0.002457683,0.00233921
1998-03-20,0.000399963,0.000382573,,0.001076355,0.001029557
1998-03-23,0.001516671,0.001453476,,0.001916634,0.001836049
1998-03-24,0,0,,0.001516671,0.001453476
1998-03-25,0.001404479,0.001296442,,0.001404479,0.001296442
1998-03-26,-0.001304334,-0.001207717,,0.000100145,8.87255E-05
1998-03-27,-0.000401306,-0.00036247,,-0.00170564,-0.001570187
1998-03-30,-0.000946949,-0.000860863,,-0.001348255,-0.001223333
1998-03-31,-0.000237063,-0.000219283,,-0.001184012,-0.001080146
1998-04-01,-0.000398677,-0.000368776,,-0.00063574,-0.00058806
1998-04-02,0.000728283,0.000673662,,0.000329606,0.000304885
1998-04-03,0.000551571,0.000510203,,0.001279854,0.001183865
1998-04-06,-0.000231645,-0.000214271,,0.000319926,0.000295932
1998-04-07,-0.000623077,-0.000576346,,-0.000854721,-0.000790617
1998-04-08,-0.000558078,-0.000516222,,-0.001181155,-0.001092568
1998-04-09,0.000976869,0.000903604,,0.000418791,0.000387381
1998-04-13,0.002199873,0.002034882,,0.003176742,0.002938486
1998-04-14,0.00210692,0.001948901,,0.004306793,0.003983783
1998-04-15,-0.000393726,-0.000364917,,0.001713194,0.001583985
1998-04-16,0,0,,-0.000393726,-0.000364917
1998-04-17,0,0,,0,0
1998-04-20,-0.000732858,-0.000679234,,-0.000732858,-0.000679234
1998-04-21,-6.86E-05,-6.35E-05,,-0.000801415,-0.000742775
1998-04-22,-0.000343541,-0.000318404,,-0.000412098,-0.000381945
1998-04-23,-0.001531586,-0.001419518,,-0.001875126,-0.001737922
1998-04-24,-0.001256637,-0.001164688,,-0.002788223,-0.002584206
1998-04-27,0.002095913,0.001942553,,0.000839275,0.000777865
1998-04-28,0.000431429,0.000399861,,0.002527342,0.002342414
1998-04-29,0.000990379,0.000917912,,0.001421808,0.001317773
1998-04-30,0,0,,0.000990379,0.000917912
1998-05-01,-0.00047723,-0.000442311,,-0.00047723,-0.000442311
1998-05-04,0.000624921,0.000579195,,0.00014769,0.000136884
1998-05-05,0.002102532,0.001948688,,0.002727453,0.002527883
1998-05-06,0.001758573,0.001629897,,0.003861105,0.003578585
1998-05-07,-0.001589562,-0.001473252,,0.000169011,0.000156644
1998-05-08,-0.001441065,-0.001335621,,-0.003030627,-0.002808873
1998-05-11,0.000928012,0.000860108,,-0.000513053,-0.000475513
1998-05-12,0.000448201,0.000415406,,0.001376213,0.001275515
1998-05-13,0.000125873,0.000116663,,0.000574074,0.000532069
1998-05-14,0.000250638,0.000232299,,0.000376511,0.000348962
1998-05-15,-0.000682732,-0.000632776,,-0.000432093,-0.000400477
1998-05-18,-0.000700872,-0.000649589,,-0.001383604,-0.001282364
1998-05-19,-0.001178332,-0.001092113,,-0.001879204,-0.001741702
1998-05-20,0.001713281,0.001587919,,0.000534949,0.000495806
1998-05-21,-0.000579083,-0.000536711,,0.001134198,0.001051208
1998-05-22,0.000328942,0.000304873,,-0.000250141,-0.000231838
1998-05-26,-0.0005198,-0.000481766,,-0.000190857,-0.000176892
1998-05-27,0.000795432,0.00073723,,0.000275633,0.000255465
1998-05-28,0,0,,0.000795432,0.00073723
1998-05-29,0.001222486,0.001133036,,0.001222486,0.001133036
1998-06-01,6.15E-05,5.70E-05,,0.001283953,0.001190005
1998-06-02,-0.000490718,-0.000454812,,-0.000429251,-0.000397842
1998-06-03,0.000187508,0.000173788,,-0.00030321,-0.000281024
1998-06-04,0.002110248,0.00195584,,0.002297756,0.002129628
1998-06-05,0,0,,0.002110248,0.00195584
1998-06-08,0.000287284,0.000266263,,0.000287284,0.000266263
1998-06-09,-0.00130727,-0.001211616,,-0.001019986,-0.000945353
1998-06-10,0,0,,-0.00130727,-0.001211616
1998-06-11,-0.000538282,-0.000498896,,-0.000538282,-0.000498896
1998-06-12,-0.000427404,-0.00039613,,-0.000965686,-0.000895026
1998-06-15,0.001303377,0.001208008,,0.000875974,0.000811878
1998-06-16,0.000591353,0.000548083,,0.00189473,0.001756092
1998-06-17,0.001503795,0.001393761,,0.002095148,0.001941844
1998-06-18,-0.0009848,-0.000912741,,0.000518995,0.000481019
1998-06-19,-0.000795725,-0.000737502,,-0.001780525,-0.001650243
1998-06-22,0.000117225,0.000108648,,-0.000678501,-0.000628854
1998-06-23,-0.00110864,-0.00102752,,-0.000991415,-0.000918873
1998-06-24,0.001827445,0.00169373,,0.000718805,0.00066621
1998-06-25,0.001253157,0.001161462,,0.003080602,0.002855192
1998-06-26,0.001903,0.001763756,,0.003156156,0.002925218
1998-06-29,-0.001723977,-0.001597832,,0.000179023,0.000165924
1998-06-30,-0.001356456,-0.001257203,,-0.003080433,-0.002855035
1998-07-01,0.000286035,0.000265105,,-0.001070422,-0.000992098
1998-07-02,5.66E-05,5.24E-05,,0.000342611,0.000317542
1998-07-06,-0.000960007,-0.000889762,,-0.00090343,-0.000837326
1998-07-07,0.000937762,0.000869145,,-2.2245E-05,-2.06174E-05
1998-07-08,0.000509344,0.000472075,,0.001447105,0.00134122
1998-07-09,0.001998646,0.001852404,,0.00250799,0.002324479
1998-07-10,0.002115598,0.001960798,,0.004114245,0.003813202
1998-07-13,0.001432807,0.001327967,,0.003548405,0.003288766
1998-07-14,-0.001358823,-0.001259397,,7.39834E-05,6.857E-05
1998-07-15,0,0,,-0.001358823,-0.001259397
1998-07-16,0.001396068,0.001296349,,0.001396068,0.001296349
1998-07-17,0.001147439,0.001065479,,0.002543507,0.002361828
1998-07-20,-0.000929346,-0.000862964,,0.000218093,0.000202515
